Distribution,Function,Training,Inference,AUC,JS-Divergence,MSE,Correlation
Gaussian-Symmetric,tHDE,,228.30724716186523,0.9999949932098389,0.02541387639939785,0.0008594833198003471,0.9665912985801697
Gaussian-Symmetric,Normal Dist.,,28.020143508911133,0.9999999403953552,1.0889014134818353e-08,3.2581291060981623e-17,1.0
Gaussian-Symmetric,Pearson 1,,3.4770965576171875,1.0,0.0006594579899683595,1.388988174140897e-05,0.9989916086196899
Gaussian-Symmetric,SciPyKDE,,7422.260284423828,0.9999903440475464,0.025379309430718422,0.0008154918689786889,0.9691919088363647
Gaussian-Symmetric,tKDE,,182.9068660736084,0.9999902248382568,0.025379307568073273,0.0008154911920428276,0.9691921472549438
Gaussian-Symmetric,DPR-tHDE(3),8323.82607460022,38.44785690307617,0.9977559447288513,0.0038814391009509563,3.777685560635291e-05,0.9973721504211426
Gaussian-Symmetric,DPR-tHDE(4),8243.349075317383,50.57477951049805,0.99716717004776,0.003939013462513685,3.7988214899087325e-05,0.9973650574684143
Gaussian-Symmetric,DPR-tHDE(5),8354.251146316528,50.33707618713379,0.9955130815505981,0.0036025638692080975,7.093815383996116e-06,0.9994320273399353
Gaussian-Symmetric,DPR-tHDE(6),8413.867712020874,55.177927017211914,0.9982215166091919,0.0003644509124569595,5.28847408531874e-07,0.9999570250511169
Gaussian-Symmetric,DPR-tHDE(7),8401.292085647583,53.800106048583984,4.859731674194336,0.28914445638656616,0.04330521821975708,9.80105241410456e-09
Gaussian-Symmetric,DPR-tKDE(3),949.1162300109863,39.685964584350586,0.9933536052703857,0.002682856284081936,3.751195254153572e-05,0.99744713306427
Gaussian-Symmetric,DPR-tKDE(4),1253.021001815796,40.606021881103516,0.992652416229248,0.002786683849990368,3.809582267422229e-05,0.9974197745323181
Gaussian-Symmetric,DPR-tKDE(5),1276.9079208374023,41.62096977233887,0.9973698258399963,0.0035651549696922302,7.667924364795908e-06,0.99940025806427
Gaussian-Symmetric,DPR-tKDE(6),1277.3098945617676,41.21899604797363,0.9998967051506042,0.00019492791034281254,4.818913339477149e-07,0.9999631643295288
Gaussian-Symmetric,DPR-tKDE(7),1298.4552383422852,41.7790412902832,0.9992797374725342,0.0003661339869722724,7.975061180331977e-07,0.9999419450759888
Gaussian-Right-skewed,tHDE,,85.72578430175781,0.9999949336051941,0.4407731592655182,0.030781162902712822,-0.06377071142196655
Gaussian-Right-skewed,Normal Dist.,,67.42691993713379,1.0,0.13388073444366455,0.004749303217977285,0.7388905882835388
Gaussian-Right-skewed,Pearson 1,,3.690958023071289,1.0,0.0031114923767745495,0.00015880830139459025,0.9925999045372009
Gaussian-Right-skewed,SciPyKDE,,7325.132131576538,0.9999885559082031,0.43933725357055664,0.03052616579827424,-0.06302236765623093
Gaussian-Right-skewed,tKDE,,47.685861587524414,0.9999884366989136,0.43933725357055664,0.030526159331202507,-0.06302237510681152
Gaussian-Right-skewed,DPR-tHDE(3),8476.469039916992,42.62828826904297,0.9945697784423828,0.002858650404959917,4.350666131358594e-05,0.998106837272644
Gaussian-Right-skewed,DPR-tHDE(4),8427.74510383606,42.32287406921387,0.9940463304519653,0.002851279219612479,4.073031959705986e-05,0.998246431350708
Gaussian-Right-skewed,DPR-tHDE(5),8469.012022018433,42.50001907348633,0.9952196478843689,0.0016332385130226612,9.225175745086744e-06,0.9995701909065247
Gaussian-Right-skewed,DPR-tHDE(6),8464.760065078735,47.570228576660156,0.9986402988433838,0.0005240009049884975,2.103533461195184e-06,0.9999024271965027
Gaussian-Right-skewed,DPR-tHDE(7),8583.643913269043,45.9752082824707,7.5541229248046875,0.37351667881011963,0.11785466969013214,
Gaussian-Right-skewed,DPR-tKDE(3),1366.4147853851318,45.203208923339844,0.9936295747756958,0.003098320448771119,4.690624700742774e-05,0.9980573058128357
Gaussian-Right-skewed,DPR-tKDE(4),1374.089002609253,46.44584655761719,0.993144154548645,0.002744844416156411,3.7869092921027914e-05,0.9984590411186218
Gaussian-Right-skewed,DPR-tKDE(5),1362.807273864746,45.01008987426758,0.9957932233810425,0.0013647492742165923,7.889371772762388e-06,0.9996444582939148
Gaussian-Right-skewed,DPR-tKDE(6),1394.1328525543213,43.61104965209961,0.9991928339004517,0.000424275582190603,1.8953386415887508e-06,0.9999154806137085
Gaussian-Right-skewed,DPR-tKDE(7),1387.571096420288,43.89810562133789,0.9992181062698364,0.0003985324001405388,1.8746998193819309e-06,0.9999187588691711
Gaussian-Left-skewed,tHDE,,93.86205673217773,0.9999949932098389,0.46669697761535645,0.035478971898555756,-0.0950373038649559
Gaussian-Left-skewed,Normal Dist.,,65.29784202575684,0.9999999403953552,0.1191861480474472,0.004649316892027855,0.7674217224121094
Gaussian-Left-skewed,Pearson 1,,2.9876232147216797,0.9999999403953552,0.00205314252525568,0.00010638631283738025,0.9954761862754822
Gaussian-Left-skewed,SciPyKDE,,7761.591911315918,0.9999902248382568,0.46521419286727905,0.035204529382804044,-0.09449562430381775
Gaussian-Left-skewed,tKDE,,188.1880760192871,0.9999901056289673,0.4652141332626343,0.03520451858639717,-0.0944955125451088
Gaussian-Left-skewed,DPR-tHDE(3),8554.609775543213,46.73910140991211,0.9997297525405884,0.004740957170724869,5.3677213145419955e-05,0.9978891015052795
Gaussian-Left-skewed,DPR-tHDE(4),8604.86102104187,45.2878475189209,0.9976590871810913,0.003776069264858961,4.355890632723458e-05,0.9983001351356506
Gaussian-Left-skewed,DPR-tHDE(5),8602.917194366455,45.96424102783203,0.9996504783630371,0.002469409257173538,1.117996816901723e-05,0.9995163083076477
