Distribution,Function,Training,Inference,AUC,JS-Divergence,MSE,Correlation
Systolic,HDE,,17144.39296722412,0.9999960660934448,,,
Systolic,SciPyKDE,,15289.631128311157,0.9999959468841553,,,
Systolic,DPR-tKDE(3),1111.7899417877197,67.31796264648438,0.991804838180542,0.009624157100915909,8.538605685350111e-07,0.9931454658508301
Systolic,DPR-tHDE(3),18239.21799659729,68.41015815734863,0.9868168234825134,0.011653508991003036,9.243266616884171e-07,0.9921859502792358
Systolic,DPR-tKDE(4),1203.3121585845947,99.39980506896973,0.9973555207252502,0.005473275203257799,5.658105285684783e-07,0.995050847530365
Systolic,DPR-tHDE(4),18249.76897239685,68.86506080627441,0.9878442883491516,0.010056586004793644,8.01535010207306e-07,0.9926008582115173
Systolic,DPR-tKDE(5),1222.9840755462646,82.20195770263672,5.050975799560547,0.2728961706161499,0.00042604842848470887,
Systolic,DPR-tHDE(5),18329.129934310913,69.21601295471191,0.9837626814842224,0.009573877789080143,4.4005775491791107e-07,0.9959942102432251
